조사분기,표본구분,광역상권,상권명,시군구코드,용도지역1명,용도지역2명,용도지구1명,용도지구2명,이용현황_지상층수,이용현황_지하층수,사용승인일자,건물구조명,건물주용도,건폐율,용적률,지하철역출구,버스정류장,도로접면명,옥내주차장 유무명,옥외주차장 유무명,승객용 승강기,대지면적,건축연면적,전용면적,공용면적,전용률,현재임대계약면적,공실면적,비임대면적,특이면적,특이면적외 기타면적,지목명,토지대장상 토지면적,전환률,조사층,임차인사용현황구분,임차인업종대분류,임차인업종소분류,전용면적(호),공용면적(호),임차인별면적합계,제1월계약임대료_보증금,제1월계약임대료_월세,제1월계약임대료_㎡당환산임대료,제1월시장임대료_보증금,제1월시장임대료_월세,제1월시장임대료_㎡당환산임대료,제1월관리비총액,제1월관리비실비총액,제1월공실,제2월계약임대료_보증금,제2월계약임대료_월세,제2월계약임대료_㎡당환산임대료,제2월시장임대료_보증금,제2월시장임대료_월세,제2월시장임대료_㎡당환산임대료,제2월관리비총액,제2월관리비실비총액,제2월공실,제3월계약임대료_보증금,제3월계약임대료_월세,제3월계약임대료_㎡당환산임대료,제3월시장임대료_보증금,제3월시장임대료_월세,제3월시장임대료_㎡당환산임대료,제3월관리비총액,제3월관리비실비총액,제3월공실,현계약개시일,현계약기간,최초계약개시일,최종조사산정액_토지면적 ㎡단가,최종조사산정액_연면적 ㎡당단가,기타수입_연면적 ㎡당 단가,영업경비_연면적 ㎡당 단가
202601,6,,구리역,41310,22,0,300,0,1,0,4,19,03,7,1,543,113,8,0,0,0,2,1,3,1,10,1,1,1,1,1,8,2,3,1,1,G,472,1,1,1,7,4,10,6,5,55800,1,1,0,7,4,10,6,5,55800,1,1,0,7,4,10,6,5,55800,1,1,0,2025,3,6,9530000,15530000,1,2
202601,6,,구리역,41310,22,0,300,0,1,0,4,19,03,7,1,543,113,8,0,0,0,2,1,3,1,10,1,1,1,1,1,8,2,3,1,1,G,472,1,1,1,6,5,10,6,5,56200,1,1,0,6,5,10,6,5,56200,1,1,0,6,5,10,6,5,56200,1,1,0,2024,3,9,9530000,15530000,1,2
202601,6,,구리역,41310,22,0,300,0,1,0,4,19,03,7,1,543,113,8,0,0,0,2,1,3,1,10,1,1,1,1,1,8,2,3,1,1,G,475,1,1,1,7,4,10,6,5,52600,1,1,0,7,4,10,6,5,52600,1,1,0,7,4,10,6,5,53000,1,1,0,2025,3,5,9530000,15530000,1,2
202601,6,,구리역,41310,22,0,300,0,1,0,1,21,03,1,1,558,91,7,0,0,0,2,2,4,1,9,2,1,1,1,1,8,2,3,1,1,G,474,2,1,2,6,5,10,6,5,51300,1,1,0,6,5,10,6,5,51300,1,1,0,6,5,10,6,5,51300,1,1,0,2025,3,9,9490000,11860000,1,1
202601,6,,구리역,41310,22,0,300,0,1,0,1,21,03,1,1,558,91,7,0,0,0,2,2,4,1,9,2,1,1,1,1,8,2,3,1,1,G,472,2,1,2,6,6,10,6,6,57700,1,1,0,6,6,10,6,6,57700,1,1,0,6,6,10,6,6,57700,1,1,0,2024,3,9,9490000,11860000,1,1
202601,6,,구리역,41310,22,0,300,0,1,0,1,21,03,1,1,558,91,7,0,0,0,2,2,4,1,9,2,1,1,1,1,8,2,3,2,1,G,472,3,1,3,4,4,5,4,4,11800,1,1,0,4,4,5,4,4,11800,1,1,0,4,4,5,4,4,11800,1,1,0,2025,3,10,9490000,11860000,1,1
202601,6,,구리역,41310,22,0,300,0,1,1,1,11,16,1,1,519,37,1,0,0,0,2,2,4,1,10,2,1,1,1,1,8,2,3,-1,1,I,562,3,1,3,4,4,7,4,4,12100,1,1,0,4,4,7,4,4,12100,1,1,0,4,4,7,4,4,12100,1,1,0,2026,3,3,13920000,6990000,1,1
202601,6,,구리역,41310,22,0,300,0,1,1,1,11,16,1,1,519,37,1,0,0,0,2,2,4,1,10,2,1,1,1,1,8,2,3,1,1,G,474,3,1,3,6,6,10,6,6,52900,1,1,0,6,6,10,6,6,52900,1,1,0,6,6,10,6,6,52800,1,1,0,2024,3,8,13920000,6990000,1,1
202601,6,,구리역,41310,22,0,300,0,1,1,1,11,16,1,1,519,37,1,0,0,0,2,2,4,1,10,2,1,1,1,1,8,2,3,2,1,S,969,3,1,3,4,5,7,4,5,17600,1,1,0,4,5,7,4,5,17600,1,1,0,4,5,7,4,5,17600,1,1,0,2025,3,8,13920000,6990000,1,1
202601,6,,구리역,41310,14,0,0,0,1,0,1,11,04,1,1,539,184,6,0,0,0,1,2,4,1,10,2,1,1,1,1,8,1,3,1,1,I,562,2,1,2,4,5,8,5,5,25100,1,1,0,4,5,8,5,5,25100,1,1,0,4,5,8,5,5,25000,1,1,0,2025,3,10,7620000,5690000,1,1
