조사분기,표본구분,광역상권,상권명,시군구코드,용도지역1명,용도지역2명,용도지구1명,용도지구2명,이용현황_지상층수,이용현황_지하층수,사용승인일자,건물구조명,건물주용도,건폐율,용적률,지하철역출구,버스정류장,도로접면명,옥내주차장 유무명,옥외주차장 유무명,승객용 승강기,대지면적,건축연면적,전용면적,공용면적,전용률,현재임대계약면적,공실면적,비임대면적,특이면적,특이면적외 기타면적,지목명,토지대장상 토지면적,전환률,조사층,임차인사용현황구분,임차인업종대분류,임차인업종소분류,전용면적(호),공용면적(호),임차인별면적합계,제1월계약임대료_보증금,제1월계약임대료_월세,제1월계약임대료_㎡당환산임대료,제1월시장임대료_보증금,제1월시장임대료_월세,제1월시장임대료_㎡당환산임대료,제1월관리비총액,제1월관리비실비총액,제1월공실,제2월계약임대료_보증금,제2월계약임대료_월세,제2월계약임대료_㎡당환산임대료,제2월시장임대료_보증금,제2월시장임대료_월세,제2월시장임대료_㎡당환산임대료,제2월관리비총액,제2월관리비실비총액,제2월공실,제3월계약임대료_보증금,제3월계약임대료_월세,제3월계약임대료_㎡당환산임대료,제3월시장임대료_보증금,제3월시장임대료_월세,제3월시장임대료_㎡당환산임대료,제3월관리비총액,제3월관리비실비총액,제3월공실,현계약개시일,현계약기간,최초계약개시일,최종조사산정액_토지면적 ㎡단가,최종조사산정액_연면적 ㎡당단가,기타수입_연면적 ㎡당 단가,영업경비_연면적 ㎡당 단가
202503,6,1.도심,광화문,11110,22,0,0,0,1,0,1,51,04,1,1,100,210,8,0,0,0,2,1,2,1,10,1,1,1,1,1,8,2,3,1,1,I,562,2,1,2,6,6,12,6,6,111900,1,1,0,6,6,12,6,6,111900,1,1,0,6,6,12,6,6,111900,1,1,0,2025,3,10,34240000,108490000,1,5
202503,6,1.도심,광화문,11110,22,0,300,0,1,0,1,51,03,1,1,120,70,4,0,0,0,1,1,3,1,10,1,1,1,1,1,8,1,3,1,1,I,561,3,1,3,6,6,10,6,6,58300,1,1,0,6,6,10,6,6,58300,1,1,0,6,6,10,6,6,58300,1,1,0,2023,3,10,40910000,40950000,1,5
202503,6,1.도심,광화문,11110,22,0,0,0,1,0,1,11,04,1,1,300,300,5,0,0,0,1,1,3,1,10,1,1,1,1,1,8,1,3,1,1,I,562,2,1,2,6,6,11,6,6,84400,1,1,0,6,6,11,6,6,84400,1,1,0,6,6,11,6,6,84400,1,1,0,2024,3,10,52630000,32300000,1,4
202503,6,1.도심,광화문,11110,22,0,0,0,1,0,1,11,04,1,1,300,300,5,0,0,0,1,1,3,1,10,1,1,1,1,1,8,1,3,2,1,I,562,2,1,2,5,5,9,5,5,42200,1,1,0,5,5,9,5,5,42200,1,1,0,5,5,9,5,5,42200,1,1,0,2024,3,10,52630000,32300000,1,4
202503,6,1.도심,광화문,11110,22,0,0,0,1,0,1,11,04,1,1,330,220,4,0,0,0,1,2,4,1,10,2,1,1,1,1,8,1,3,1,1,I,561,2,1,2,8,7,12,8,7,133000,1,1,0,8,7,12,8,7,133000,1,1,0,8,7,12,8,7,133000,1,1,0,2024,4,8,48070000,34530000,1,4
202503,6,1.도심,광화문,11110,22,0,0,0,1,0,1,11,04,1,1,330,220,4,0,0,0,1,2,4,1,10,2,1,1,1,1,8,1,3,2,1,I,561,2,1,2,6,6,9,6,6,44300,1,1,0,6,6,9,6,6,44300,1,1,0,6,6,9,6,6,44300,1,1,0,2024,4,8,48070000,34530000,1,4
202503,6,1.도심,광화문,11110,22,0,0,0,1,0,1,51,04,1,1,400,300,8,0,0,0,2,2,4,1,10,2,1,1,1,1,8,2,3,1,1,I,561,4,1,4,7,7,11,7,7,86100,1,1,0,7,7,11,7,7,86100,1,1,0,7,7,11,7,7,86100,1,1,0,2021,5,3,33160000,75640000,1,5
202503,6,1.도심,광화문,11110,22,0,0,0,1,0,1,51,03,1,1,300,300,10,0,0,0,1,1,1,1,10,1,1,1,1,1,8,1,3,1,1,I,562,1,1,1,6,6,12,6,6,124500,1,1,0,6,6,12,6,6,124500,1,1,0,6,6,12,6,6,124500,1,1,0,2024,4,9,27380000,45650000,1,4
202503,6,1.도심,광화문,11110,22,0,0,0,1,0,1,32,04,6,1,300,200,6,0,0,0,1,1,2,1,10,1,1,1,1,1,8,1,3,1,1,I,562,2,1,2,6,6,11,6,6,75900,1,1,0,6,6,11,6,6,75900,1,1,0,6,6,11,6,6,75900,1,1,0,2024,3,9,32470000,54960000,1,5
202503,6,1.도심,광화문,11110,22,0,0,0,1,0,1,11,03,1,1,300,300,5,0,0,0,1,1,1,1,10,1,1,1,1,1,8,1,3,1,1,I,562,1,1,1,6,6,12,6,6,318300,1,1,0,6,6,12,6,6,318300,1,1,0,6,6,12,6,6,318300,1,1,0,2024,3,9,49560000,25520000,1,5
202503,6,1.도심,광화문,11110,22,0,0,0,1,0,1,11,03,1,1,300,300,5,0,0,0,1,1,1,1,10,1,1,1,1,1,8,1,3,2,6,0,999,1,1,1,1,1,1,4,4,87700,1,1,1,1,1,1,4,4,87700,1,1,1,1,1,1,4,4,87700,1,1,1,0,1,1,49560000,25520000,1,5
